"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Navigate","Next Page","⌥F7","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor"
"Navigate","Forward History","⌥⌘→","In Windows"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Text Editing","Delete Next Word","⌥D","Editing Text"
"Text Editing","Set Mark","⌃2","Editing Text"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"C/C++ Source","Back","⌥←","In Macro Expansion Hover"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing XML Source"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Text Editing","Scroll Line Down","⌃Z","Editing Text"
"Window","Next Perspective","⌘F8","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Run/Debug","EOF","⌃D","In I/O Console"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Edit","Restore Last Selection","⇧⌃↓","Editing XML Source"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"File","Close All","⌃X ⌃C","In Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Source","Format","⇧⌘F","Editing Java Source"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Edit","Redo","F10","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Navigate","Open Resource","⌃X ⌃F","In Windows"
"Text Editing","Next Word","⌥F","Editing Text"
"Edit","Find and Replace","⌘F","In Windows"
"Edit","Copy","⌥W","In Dialogs and Windows"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Text Editing","Text End","⇧⌥>","Editing Text"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"C/C++ Source","Declaration","⌘G","In C/C++ Views"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Edit","Undo","⌃X U","In Windows"
"Window","Next View","⌘F7","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Run/Debug","Debug Android Application","⇧⌥A D","In Windows"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"Navigate","Open Call Hierarchy","⌃⌥H","C/C++ Editor"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"C/C++ Source","Format","⇧⌘F","C/C++ Editor"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Text Editing","Clear Mark","⌃G","Editing Text"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"File","Save All","⇧⌘S","In Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Window","Previous View","⇧⌘F7","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Views","Show View","⌥⌘Q Q","In Windows"
"Git","Commit...","⌘#","In Windows"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Edit","Context Information","⇧⌥?","In Windows"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Edit","Context Information","⌥?","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Project","Build All","⌘B","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Window","Next Editor","⌘F6","In Windows"
"File","Rename","F2","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Text Editing","Page Up","Esc V","Editing Text"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"C/C++ Source","Go to Next Member","⇧⌘↓","C/C++ Editor"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","Debugging C/C++"
"Edit","Shift Left","⇧Tab","C/C++ Editor"
"Navigate","Previous","⇧⌘.","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Edit","Delete","⌦","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"C/C++ Source","Open Element","⇧⌘T","C/C++ Editor"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Window","Quick Access","⌘3","In Windows"
"Text Editing","Text Start","⇧⌥<","Editing Text"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Window","Quick Switch Editor","⌘E","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"File","Close","⌘W","In Windows"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Navigate","Last Edit Location","⌃Q","In Windows"
"File","Print","⌥F9","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"C/C++ Source","References","⇧⌘G","C/C++ Editor"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Text Editing","Cut to Beginning of Line","Esc 0 ⌃K","Editing Text"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Edit","Restore Last C/C++ Selection","⇧⌃↓","C/C++ Editor"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Edit","Find and Replace","Esc R","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
